cohort,mds1,mds2,generation,toxicity
seq,0.575875,-0.567986,3,0.015500
seq,0.364158,-0.482660,3,0.027300
seq,0.224302,-0.607137,26,0.035000
seq,0.043529,-0.774638,30,0.036400
seq,0.328160,-0.549928,40,0.014000
seq,0.400935,-0.599904,40,0.016600
seq,-0.778118,-0.427906,46,0.017300
seq,-0.037466,-0.269057,0,0.058200
seq,-0.193889,-0.418947,0,0.034500
seq,-0.024703,-0.265549,4,0.046400
seq,-0.022425,-0.263705,4,0.055000
seq,0.034546,-0.347286,4,0.026500
seq,-0.009477,-0.279229,4,0.093100
seq,-0.017474,-0.272068,9,0.180800
seq,-0.016691,-0.245307,9,0.015300
seq,-0.033732,-0.260679,9,0.037800
seq,-0.024496,-0.262117,9,0.030700
seq,0.013315,-0.243442,9,0.086400
seq,-0.042401,-0.245689,9,0.049600
seq,-0.004849,-0.226756,9,0.021200
seq,0.113119,-0.240456,9,0.025700
seq,-0.119002,-0.588993,0,0.026500
seq,-0.026260,-0.286773,9,0.025400
seq,-0.120593,-0.342463,9,0.048300
seq,-0.025093,-0.261711,22,0.040400
seq,-0.019535,-0.277234,22,0.043400
seq,-0.002146,-0.236882,22,0.146000
seq,0.006755,-0.280703,22,0.018100
seq,-0.093879,-0.571857,49,0.018300
seq,-0.109444,-0.196360,49,0.019900
seq,-0.204962,-0.337942,11,0.019100
seq,0.347635,-0.650217,23,0.018600
seq,-0.714945,-0.334173,23,0.039900
seq,0.421621,-0.665001,25,0.036600
seq,-0.722811,-0.364778,25,0.045100
seq,0.249816,0.253124,4,0.058200
seq,0.486488,0.266736,12,0.033600
seq,0.493971,0.531795,12,0.023600
seq,-0.460079,0.467764,12,0.080000
seq,0.460432,0.327464,13,0.039700
seq,0.415819,0.364210,13,0.046100
seq,0.478585,0.289329,13,0.039700
seq,0.462243,0.401238,13,0.029000
seq,0.462155,0.352242,13,0.033300
seq,0.497818,0.201585,13,0.027000
seq,0.427288,0.343803,13,0.012300
seq,0.484053,0.222968,13,0.016600
seq,0.404104,0.378327,13,0.021200
seq,0.475883,0.205418,18,0.027300
seq,0.444132,0.377419,30,0.111700
seq,0.468081,0.379927,30,0.044100
seq,0.463540,0.537127,30,0.041900
seq,0.561080,0.302910,30,0.023800
seq,0.459120,0.592607,30,0.029600
seq,0.432734,0.317345,30,0.018600
seq,0.242161,0.301285,42,0.096100
seq,0.469934,0.350603,45,0.022300
seq,0.506311,0.277905,45,0.037600
seq,0.462635,0.352472,45,0.052800
seq,0.488195,0.335771,45,0.097900
seq,0.402272,0.370664,45,0.039700
seq,0.458677,0.335940,45,0.043200
seq,0.463928,0.346710,45,0.015400
seq,0.499205,0.266077,45,0.027000
seq,0.001125,0.007981,45,0.029200
seq,0.498450,0.298594,45,0.086400
seq,0.461121,0.355809,50,0.055800
seq,0.337867,0.413065,50,0.069000
seq,0.444132,0.377419,50,0.031700
seq,0.317762,0.248051,50,0.031000
seq,0.410600,0.403410,50,0.058200
seq,0.176705,-0.026823,1,0.018600
seq,0.294159,-0.315235,12,0.052100
seq,0.240625,-0.540031,21,0.062200
seq,-0.039413,-0.393644,20,0.199400
seq,0.091216,-0.152284,23,0.111400
seq,-0.008176,0.285892,24,0.016500
seq,0.098830,-0.338661,24,0.049300
seq,0.031407,0.049517,24,0.239600
seq,-0.234035,-0.063400,25,0.201000
seq,0.219772,0.382838,43,0.174600
seq,0.048753,0.102824,44,0.044900
seq,-0.016295,0.277071,44,0.074500
seq,0.008132,0.199455,44,0.038800
seq,0.056740,-0.208742,44,0.045100
seq,0.226771,-0.146710,44,0.047600
seq,0.027409,0.115907,44,0.063000
seq,0.091342,-0.153378,44,0.110000
seq,0.389715,-0.344556,11,0.019200
seq,0.452477,-0.269988,15,0.030500
seq,0.516844,-0.303750,11,0.028700
seq,-0.636770,0.080883,32,0.026900
seq,-0.479600,0.143664,32,0.041400
seq,-0.442780,0.166945,32,0.025800
seq,-0.264983,0.285084,32,0.065800
seq,-0.474959,0.135013,33,0.026100
seq,-0.530362,0.124622,33,0.036400
seq,-0.520104,0.141618,33,0.024400
seq,-0.492562,-0.109374,33,0.032600
seq,-0.264191,0.090533,33,0.027000
seq,-0.490892,0.107823,34,0.027400
seq,-0.480271,0.143879,34,0.039700
seq,-0.470468,0.143706,34,0.027600
seq,-0.509631,0.144289,34,0.023600
seq,-0.553695,0.095150,35,0.037300
seq,-0.474089,0.143979,35,0.029000
seq,-0.514626,0.094942,35,0.032900
seq,-0.450156,0.156873,35,0.030600
seq,-0.441902,0.149849,35,0.024500
seq,-0.387812,0.163010,35,0.046600
seq,-0.719522,0.148537,35,0.031200
seq,-0.640516,0.052107,36,0.033300
seq,-0.480171,0.144060,36,0.033800
seq,-0.599506,0.130599,36,0.029000
seq,0.474244,0.473396,36,0.034300
seq,-0.548845,0.119266,36,0.029800
seq,-0.467630,0.108351,37,0.024600
seq,-0.314825,0.089019,38,0.023400
seq,-0.358072,0.077250,38,0.026600
seq,-0.352881,0.062202,38,0.024400
seq,0.315331,0.690057,39,0.030400
seq,0.154184,-0.024441,4,0.047100
seq,0.091431,-0.081010,6,0.045400
seq,-0.555985,-0.565119,0,0.107000
seq,0.370756,-0.309861,0,0.039900
seq,-0.237899,-0.245728,8,0.018600
seq,-0.245889,-0.300345,11,0.024500
seq,0.191243,-0.190678,27,0.021800
seq,0.521604,-0.343232,0,0.023400
seq,0.505498,-0.346184,0,0.031000
seq,0.087036,-0.550855,0,0.031200
seq,0.080498,-0.021390,6,0.026700
seq,-0.025078,-0.439857,0,0.026500
seq,0.674171,0.164314,0,0.018600
seq,0.351076,0.088923,3,0.010900
seq,0.479901,-0.184024,11,0.017500
seq,0.270388,-0.272346,25,0.026400
seq,0.272644,-0.262303,25,0.026500
seq,0.313970,-0.218479,5,0.014500
seq,0.603020,-0.258213,25,0.014300
seq,0.301852,-0.483590,29,0.039900
seq,0.302263,-0.478098,29,0.026100
seq,0.274114,-0.471016,29,0.036200
seq,-0.348244,0.098816,33,0.019400
seq,-0.382434,0.064269,33,0.020400
seq,-0.422098,-0.132907,33,0.029200
seq,-0.337406,0.127786,33,0.012200
seq,-0.567013,-0.495935,23,0.088000
seq,0.129570,-0.036963,41,0.007500
seq,-0.444085,-0.421855,41,0.032900
seq,0.115785,-0.072776,41,0.021700
seq,-0.495931,-0.562707,41,0.104800
seq,-0.444817,-0.476847,41,0.098700
seq,0.304435,-0.133757,41,0.016000
seq,-0.564400,-0.571508,41,0.101800
seq,0.127594,-0.120905,41,0.011000
seq,-0.556772,-0.476612,41,0.021300
seq,0.625047,0.145657,42,0.031700
seq,0.378648,0.166138,42,0.028100
seq,0.359010,0.168856,42,0.025200
seq,0.342525,0.142275,42,0.022600
seq,0.661069,-0.250818,11,0.013900
seq,0.413311,-0.428013,11,0.017200
seq,-0.454008,-0.486529,48,0.171100
seq,-0.396135,-0.414652,48,0.022300
seq,-0.228769,-0.072207,50,0.027300
seq,-0.039467,0.263568,51,0.077700
seq,0.048527,-0.022946,51,0.110400
seq,-0.107534,0.382651,51,0.036200
seq,0.187355,-0.118848,0,0.018800
